Software providor ID,Customer Type,Annual Charges ,Biggest market,Invoice generation,E invoice generation,Delivery challan Generation,E way bill generation,LR generation,Multi user compatibility,Multi tenant usability,Tasks management,Customization,Vehicle allocation,Inventory Management,Integrated Payment gatways,Logistics management,Customer management,User satisfied
I269690,SME,25000,Bangalore,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I304265,Large,100000,Pune,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
I246562,ALL,100000,Hyderabad,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
I202367,Large,25000,Kerala,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
I664787,Large,200000,Chennai,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No
I160777,SME,200000,Kerala,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
I137794,ALL,150000,Pune,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No
I148377,SME,200000,Pune,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
I258195,SME,80000,Kerala,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
I300213,Large,25000,Kolkata,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
I263803,Large,100000,Chennai,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
I335713,SME,150000,Jaipur,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
I133061,Large,60000,Kerala,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No
I207205,Large,25000,Hyderabad,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
I209289,Large,60000,Pune,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
I157285,Large,200000,Kolkata,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No
I218590,ALL,60000,Chennai,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
I181109,Large,60000,Kolkata,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes
I221715,Large,100000,Chennai,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
I204979,SME,100000,Jaipur,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
I115146,SME,25000,Madhya Pradesh,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
I883721,ALL,150000,Madhya Pradesh,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
I402376,Large,80000,Mumbai,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
I251356,ALL,60000,New Delhi,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
I292239,Large,100000,Chennai,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
I276526,Large,200000,Kerala,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes
I260525,SME,100000,Kolkata,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
I870944,Large,200000,Mumbai,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
I739573,Large,80000,Hyderabad,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
I115870,SME,25000,Chennai,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
I190444,ALL,60000,New Delhi,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No
I309552,Large,200000,Jaipur,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No
I306076,ALL,150000,Kolkata,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No
I321683,SME,60000,Kerala,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No
I151332,Large,80000,Pune,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
I340014,SME,150000,Chennai,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
I249424,Large,100000,Mumbai,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
I227716,SME,150000,Mumbai,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
I140663,ALL,100000,Chennai,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No
I253242,ALL,150000,Pune,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
I108359,Large,150000,Hyderabad,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No
I195567,ALL,25000,Pune,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
I289643,Large,60000,New Delhi,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
I722319,Large,150000,Jaipur,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
I317105,Large,150000,Bangalore,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
I215721,SME,80000,Jaipur,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
I154469,ALL,25000,Jaipur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
I172458,SME,80000,Hyderabad,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
I297270,Large,200000,Kerala,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
I153930,ALL,25000,Pune,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes
I282854,Large,200000,Bangalore,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No
I869144,ALL,25000,Chennai,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
I283443,Large,25000,Pune,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
I193271,ALL,80000,Jaipur,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes
I985478,ALL,80000,Pune,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes
I200392,ALL,200000,Chennai,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes
I256691,ALL,200000,Pune,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
I796162,ALL,60000,Chennai,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
I224371,Large,200000,Mumbai,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
I215998,SME,80000,Mumbai,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
I338966,SME,60000,Hyderabad,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No
I293215,ALL,25000,New Delhi,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
I149688,ALL,100000,Madhya Pradesh,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
I109649,ALL,100000,Jaipur,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes
I299820,SME,80000,Mumbai,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
I157775,Large,100000,Kerala,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No
I317140,SME,100000,Madhya Pradesh,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
I147334,ALL,60000,Kolkata,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
I278121,ALL,150000,New Delhi,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
I134452,Large,80000,Pune,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I320846,Large,60000,Chennai,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
I740676,ALL,150000,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
I142331,ALL,25000,Kolkata,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
I222983,SME,150000,Bangalore,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
I164665,ALL,60000,Hyderabad,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
I133387,SME,100000,New Delhi,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
I276763,ALL,200000,Jaipur,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
I273890,SME,25000,Pune,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I774221,SME,200000,Pune,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
I202171,ALL,200000,New Delhi,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
I219780,SME,25000,Kerala,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
I160221,Large,60000,Kolkata,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No
I106691,ALL,200000,Bangalore,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I129886,ALL,80000,Madhya Pradesh,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
I745394,SME,80000,Chennai,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes
I157056,SME,150000,Chennai,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
I304531,ALL,200000,Pune,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
I762439,SME,150000,Mumbai,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
I300972,Large,60000,Hyderabad,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I151588,Large,200000,Kolkata,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
I657069,Large,100000,Bangalore,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
I122655,Large,60000,Chennai,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No
I236914,ALL,200000,Kolkata,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
I247471,ALL,80000,Pune,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
I362306,SME,150000,Mumbai,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
I215279,ALL,80000,Madhya Pradesh,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
I216061,Large,200000,Hyderabad,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
I246375,ALL,100000,Pune,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
I103596,Large,80000,Pune,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes
I259878,SME,100000,Mumbai,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No
I206422,SME,150000,Chennai,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
I201704,SME,25000,Madhya Pradesh,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No
I168037,Large,150000,Madhya Pradesh,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I307534,Large,60000,Jaipur,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes
I259196,SME,25000,Kolkata,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
I141241,ALL,80000,Hyderabad,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
I289973,SME,150000,Hyderabad,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
I147203,SME,100000,Bangalore,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
I323788,ALL,200000,Kerala,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No
I285454,Large,25000,Chennai,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No
I288152,Large,60000,Chennai,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
I134126,Large,200000,Chennai,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
I311052,ALL,100000,Mumbai,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
I176469,ALL,100000,Madhya Pradesh,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes
I167993,Large,100000,Mumbai,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No
I222086,Large,60000,Kerala,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
I164597,ALL,60000,Jaipur,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
I184307,SME,150000,Mumbai,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
I289905,ALL,80000,Jaipur,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
I416544,Large,60000,Hyderabad,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
I601026,ALL,25000,Pune,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I257890,Large,25000,New Delhi,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No
I260028,ALL,60000,Kerala,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No
I170160,ALL,150000,Chennai,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
I624164,Large,80000,Hyderabad,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No
I143353,Large,150000,Jaipur,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes
I278401,SME,200000,Bangalore,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
I402966,SME,80000,Mumbai,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
I244241,SME,100000,New Delhi,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
I179048,SME,60000,Jaipur,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes
I165202,ALL,25000,Chennai,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes
I328321,SME,150000,Kerala,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No
I417106,ALL,25000,Mumbai,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No
I248153,Large,100000,Hyderabad,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
I112270,SME,200000,Chennai,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
I318831,Large,200000,Chennai,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes
I258322,Large,150000,Kerala,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
I334246,SME,150000,Kerala,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
I198233,SME,100000,Kolkata,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
I310819,SME,200000,Madhya Pradesh,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
I409288,ALL,80000,Mumbai,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No
I131054,Large,150000,Pune,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No
I149521,ALL,80000,Madhya Pradesh,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
I156233,ALL,200000,Kerala,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
I295784,Large,60000,Kolkata,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
I255381,ALL,200000,Kerala,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
I337719,SME,25000,Jaipur,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes
I220863,Large,100000,Madhya Pradesh,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
I530401,SME,25000,Chennai,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I219555,SME,60000,Kolkata,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
I316629,SME,80000,Pune,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
I795251,ALL,60000,Chennai,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I151099,SME,200000,Mumbai,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
I286193,ALL,60000,Kerala,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No
I399563,SME,60000,New Delhi,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I229355,Large,200000,Bangalore,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
I147727,SME,100000,Jaipur,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
I504141,Large,100000,Kerala,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
I246151,Large,80000,Madhya Pradesh,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
I164675,Large,200000,Mumbai,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
I606511,ALL,150000,Hyderabad,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
I342816,ALL,80000,Bangalore,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No
I151764,ALL,25000,Kolkata,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
I226172,ALL,60000,Chennai,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
I737630,Large,25000,Pune,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No
I891311,SME,60000,Pune,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
I127733,Large,80000,Kolkata,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
I202398,Large,200000,Mumbai,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
I160585,ALL,60000,Bangalore,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
I771414,ALL,80000,Kerala,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No
I139520,SME,100000,Mumbai,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No
I291540,SME,150000,Pune,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
I798213,ALL,80000,New Delhi,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes
I232338,SME,100000,Bangalore,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes
I267713,SME,200000,Kerala,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes
I525798,SME,25000,Bangalore,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
I353272,Large,100000,Bangalore,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
