Software Name,User Type,Avg User Turnover (in INR crores),User State,Invoice generation,E invoice generation,Delivery challan Generation,E way bill generation,LR generation,Multi user compatibility,Multi tenant usability,Tasks management,Customization,Vehicle allocation,Customer management,User satisfied
Cerner Healthcare Software,Large,1875,Uttar Pradesh,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N
Insightly CRM,Large,3750,Tamil Nadu,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y
SYSPRO Retail ERP Software,Large,1125,Delhi,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
Teamwork Activity Planning Software,All,187,Kerala,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N
TeamGantt Project Management Software,All,750,Delhi,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N
Vyapar Invoice Management,All,375,Uttar Pradesh,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N
Orderhive Inventory Management Software,All,750,Karnataka,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N
TradeEdge Stock Management,Large,562,Gujarat,N,N,N,Y,N,Y,Y,N,Y,Y,N,N
TrakIT Transport Management Software,Large,937,Uttar Pradesh,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N
Allscripts Healthcare Software,Large,1875,Uttar Pradesh,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N
Bitrix24 CRM,Large,3750,Tamil Nadu,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y
Acumatica Retail ERP Software,Large,1125,Delhi,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
Wrike Activity Planning Software,All,187,Kerala,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N
Airtable Project Management Software,All,750,Delhi,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N
Refrens Invoice Management,All,375,Uttar Pradesh,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N
SAP Business One Inventory Management Software,All,750,Karnataka,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N
Zebra Technologies Stock Management,Large,562,Gujarat,N,N,N,Y,N,Y,Y,N,Y,Y,N,N
FarEye Transport Management Software,Large,937,Uttar Pradesh,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N
AdvancedMD Healthcare Software,Large,1875,Uttar Pradesh,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N
SugarCRM CRM,Large,3750,Tamil Nadu,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y
Workday Retail ERP Software,Large,1125,Delhi,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
Notion Activity Planning Software,All,187,Kerala,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N
Procore Project Management Software,All,750,Delhi,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N
Invoicera Invoice Management,All,375,Uttar Pradesh,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N
Zoho Books Inventory Management Software,All,750,Karnataka,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N
Netstock Stock Management,Large,562,Gujarat,N,N,N,Y,N,Y,Y,N,Y,Y,N,N
LogiNext Mile Transport Management Software,Large,937,Uttar Pradesh,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N
CareCloud Healthcare Software,Large,1875,Uttar Pradesh,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N
Nimble CRM,Large,3750,Tamil Nadu,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y
Blue Yonder Retail ERP Software,Large,1125,Delhi,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
Hive Activity Planning Software,All,187,Kerala,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N
Planview Project Management Software,All,750,Delhi,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N
